category,device_maker,device_model,device_spec,device_connection,needle_maker,needle_model,needle_gauge,needle_length,needle_connection,compatibility,notes,source,last_verified
注射器,テルモ,テルモシリンジ SS-01T,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-01T,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2516S,25G,16mm,ルアースリップ,確認済,若干滲漏あり,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-01T,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2332S,23G,32mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-01T,1mL,ルアースリップ,ニプロ,ニプロ注射針 NP-2516S,25G,16mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-03SZ,3mL,ルアースリップ,テルモ,テルモ注射針 NN-2325S,23G,25mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-03SZ,3mL,ルアースリップ,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-03SZ,3mL,ルアースリップ,テルモ,テルモ注射針 NN-2132S,21G,32mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-03SZ,3mL,ルアースリップ,ニプロ,ニプロ注射針 NP-2325S,23G,25mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-05LZ,5mL,ルアーロック,テルモ,テルモ注射針 NN-2325R,23G,25mm,ルアーロック,確認済,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-05LZ,5mL,ルアーロック,テルモ,テルモ注射針 NN-2132R,21G,32mm,ルアーロック,確認済,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-05LZ,5mL,ルアーロック,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,規格適合,ロック注射器にスリップ針：固定なし,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-05LZ,5mL,ルアーロック,ニプロ,ニプロ注射針 NP-2325R,23G,25mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-10LZ,10mL,ルアーロック,テルモ,テルモ注射針 NN-2138R,21G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-10LZ,10mL,ルアーロック,テルモ,テルモ注射針 NN-1838R,18G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-10LZ,10mL,ルアーロック,テルモ,テルモ注射針 NN-2325R,23G,25mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-10LZ,10mL,ルアーロック,ニプロ,ニプロ注射針 NP-2138R,21G,38mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-20LZ,20mL,ルアーロック,テルモ,テルモ注射針 NN-1838R,18G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-20LZ,20mL,ルアーロック,テルモ,テルモ注射針 NN-2138R,21G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,テルモ,テルモシリンジ SS-20LZ,20mL,ルアーロック,ニプロ,ニプロ注射針 NP-1838R,18G,38mm,ルアーロック,規格適合,,初期データ,2026-04
