id,category_id,active_ingredient,generic_name,brand_name,product_type,maker,device_type,device_name,dose,administration_route,frequency,indication,self_injection,needle_exchange_required,source,last_verified
1,15,リラグルチド,グルカゴン様ペプチド-1受容体アゴニスト,ビクトーザ皮下注,先発品,ノボ ノルディスク,プレフィルドペン,ビクトーザペン,18mg/3mL,皮下注,毎日,2型糖尿病,可,必要,https://kanri.nkdesk.com/drags/glp.php,2026-04
2,15,エキセナチド,グルカゴン様ペプチド-1受容体アゴニスト,バイエッタ皮下注,先発品,アストラゼネカ,プレフィルドペン,,5μg/10μg,皮下注,1日2回,2型糖尿病,可,必要,https://kanri.nkdesk.com/drags/glp.php,2026-04
3,15,エキセナチド,グルカゴン様ペプチド-1受容体アゴニスト,ビデュリオン皮下注,先発品,アストラゼネカ,プレフィルドペン,,2mg,皮下注,週1回,2型糖尿病,可,必要,https://kanri.nkdesk.com/drags/glp.php,2026-04
4,15,リキシセナチド,グルカゴン様ペプチド-1受容体アゴニスト,リキスミア皮下注,先発品,サノフィ,プレフィルドペン,,10μg/20μg,皮下注,毎日,2型糖尿病,可,必要,https://kanri.nkdesk.com/drags/glp.php,2026-04
5,15,デュラグルチド,グルカゴン様ペプチド-1受容体アゴニスト,トルリシティ皮下注,先発品,日本イーライリリー,一体型使い捨て,アテオス,0.75mg/1.5mg,皮下注,週1回,2型糖尿病,可,不要,https://kanri.nkdesk.com/drags/glp.php,2026-04
6,15,セマグルチド,グルカゴン様ペプチド-1受容体アゴニスト,オゼンピック皮下注,先発品,ノボ ノルディスク,プレフィルドペン,オゼンピックペン,0.25mg/0.5mg/1mg/2mg,皮下注,週1回,2型糖尿病,可,必要,https://kanri.nkdesk.com/drags/glp.php,2026-04
7,15,セマグルチド,グルカゴン様ペプチド-1受容体アゴニスト,ウゴービ皮下注 SD型,先発品,ノボ ノルディスク,一体型使い捨て,ウゴービSD,0.25〜2.4mg,皮下注,週1回,肥満症,可,不要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01493,2026-04
8,15,セマグルチド,グルカゴン様ペプチド-1受容体アゴニスト,ウゴービ皮下注 ペン型,先発品,ノボ ノルディスク,プレフィルドペン,ウゴービペン,0.25〜2.4mg,皮下注,週1回,肥満症,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01493,2026-04
9,63,チルゼパチド,チルゼパチド製剤,マンジャロ皮下注,先発品,日本イーライリリー,一体型使い捨て,アテオス,2.5〜15mg,皮下注,週1回,2型糖尿病,可,不要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01493,2026-04
10,63,チルゼパチド,チルゼパチド製剤,ゼップバウンド皮下注,先発品,日本イーライリリー,一体型使い捨て,アテオス,2.5〜15mg,皮下注,週1回,肥満症,可,不要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01493,2026-04
11,46,インスリン デグルデク・リラグルチド,インスリン・GLP-1受容体アゴニスト配合剤,ゾルトファイ配合注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスタッチ,100単位/0.036mg,皮下注,毎日,2型糖尿病,可,必要,https://kanri.nkdesk.com/chouzai/chouzai5.php,2026-04
12,46,インスリン グラルギン・リキシセナチド,インスリン・GLP-1受容体アゴニスト配合剤,ソリクア配合注,先発品,サノフィ,プレフィルドペン,ソロスター,100単位/1μg,皮下注,毎日,2型糖尿病,可,必要,https://kanri.nkdesk.com/chouzai/chouzai5.php,2026-04
13,1,インスリン アスパルト,インスリン製剤（超速効型）,フィアスプ注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスタッチ,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
14,1,インスリン アスパルト,インスリン製剤（超速効型）,フィアスプ注,先発品,ノボ ノルディスク,ペン型カートリッジ,ペンフィル,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
15,1,インスリン アスパルト,インスリン製剤（超速効型）,フィアスプ注,先発品,ノボ ノルディスク,バイアル,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
16,1,インスリン アスパルト,インスリン製剤（超速効型）,ノボラピッド注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスタッチ,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
17,1,インスリン アスパルト,インスリン製剤（超速効型）,ノボラピッド注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
18,1,インスリン アスパルト,インスリン製剤（超速効型）,ノボラピッド注,先発品,ノボ ノルディスク,ペン型カートリッジ,ペンフィル,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
19,1,インスリン アスパルト,インスリン製剤（超速効型）,ノボラピッド注,先発品,ノボ ノルディスク,バイアル,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
20,1,インスリン リスプロ,インスリン製剤（超速効型）,ルムジェブ注,先発品,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
21,1,インスリン リスプロ,インスリン製剤（超速効型）,ルムジェブ注,先発品,日本イーライリリー,プレフィルドペン,ミリオペンHD,200単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
22,1,インスリン リスプロ,インスリン製剤（超速効型）,ルムジェブ注,先発品,日本イーライリリー,ペン型カートリッジ,カート,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
23,1,インスリン リスプロ,インスリン製剤（超速効型）,ルムジェブ注,先発品,日本イーライリリー,バイアル,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
24,1,インスリン リスプロ,インスリン製剤（超速効型）,ヒューマログ注,先発品,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
25,1,インスリン リスプロ,インスリン製剤（超速効型）,ヒューマログ注,先発品,日本イーライリリー,プレフィルドペン,ミリオペンHD,200単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
26,1,インスリン リスプロ,インスリン製剤（超速効型）,ヒューマログ注,先発品,日本イーライリリー,ペン型カートリッジ,カート,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
27,1,インスリン リスプロ,インスリン製剤（超速効型）,ヒューマログ注,先発品,日本イーライリリー,バイアル,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
28,1,インスリン グルリジン,インスリン製剤（超速効型）,アピドラ注,先発品,サノフィ,プレフィルドペン,ソロスター,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
29,1,インスリン グルリジン,インスリン製剤（超速効型）,アピドラ注,先発品,サノフィ,ペン型カートリッジ,カート,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
30,1,インスリン グルリジン,インスリン製剤（超速効型）,アピドラ注,先発品,サノフィ,バイアル,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
31,1,インスリン アスパルト,インスリン製剤（超速効型）,インスリンアスパルトBS注,ジェネリック,サノフィ等,プレフィルドペン,ソロスターNR等,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
32,1,インスリン アスパルト,インスリン製剤（超速効型）,インスリンアスパルトBS注,ジェネリック,サノフィ等,ペン型カートリッジ,カートNR等,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
33,1,インスリン アスパルト,インスリン製剤（超速効型）,インスリンアスパルトBS注,ジェネリック,サノフィ等,バイアル,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
